# 突き・打ち
上段突き,じょうだんづき
中段突き,ちゅうだんづき
直突き,ちょくづき
上段廻し打ち,じょうだんまわしうち
中段廻し打ち,ちゅうだんまわしうち
下突き,したづき
顎打ち(鉤突き),あごうち
鎖骨打ち,さこつうち
裏拳正面打ち,うらけんしょうめんうち
裏拳左右打ち,うらけんさゆううち
裏拳脾臓打ち,うらけんひぞううち
裏拳下突き,うらけんしたづき
裏手打ち(目打ち),うらてうち
手刀顔面打ち(手刀回し打ち),しゅとうがんめんうち
手刀鎖骨打ち,しゅとうさこつうち
手刀脾臓打ち,しゅとうひぞううち
手刀内打ち,しゅとううちうち
手刀鎖骨打ち込み,しゅとうさこつうちこみ
手刀切り,しゅとうぎり

# 蹴り
中段前蹴り,ちゅうだんまえげり
上段前蹴り,じょうだんまえげり
三日月蹴り,みかづきげり
返し蹴り,かえしげり
足刀蹴り,そくとうげり
廻蹴り,まわしげり
金的蹴り,きんてきげり
後ろ廻蹴り,うしろまわしげり

# 受け
上受け,うわうけ
内受け,うちうけ
下受け,したうけ
払受け,はらいうけ
外受け,そとうけ
打上げ受け,うちあげうけ
十字受け,じゅうじうけ

# 構え
正面基本立ち構え(白蓮中段構え),しょうめんきほんだちかまえ
左組み手構え(組手立ち),ひだりくみてがまえ
右組み手構え(組手立ち),みぎくみてがまえ
一字構え,いちじがまえ
下段構え,げだんがまえ
八相構え,はっそうがまえ
待気構え,たいきがまえ
乱れ構え,みだれがまえ
伏虎構え,ふっこがまえ
結手構え(結立ち),けっしゅがまえ

# 移動・転身
横転身,よこてんしん
半転身,はんてんしん
逆転身,ぎゃくてんしん
前後移動,ぜんごいどう
順退り,じゅんさがり
開き退り,ひらきさがり
差し変え足(後ろ足を前),さしかえあし
全転換,ぜんてんかん
右半転換,みぎはんてんかん
左半転換,ひだりはんてんかん
右横転身,みぎよこてんしん
左横転身,ひだりよこてんしん

# 受身
左前受身,ひだりまえうけみ
右前受身,みぎまえうけみ
左後受身,ひだりうしろうけみ
右後受身,みぎうしろうけみ
